date,close
2025-01-17,106.70
2025-01-16,105.79
2025-05-12,99.48
2025-04-24,91.95
2025-04-15,91.21
2025-04-14,90.26
2025-04-07,86.69
2025-04-01,98.34
2025-03-24,100.68
2025-03-17,98.25
2025-04-09,85.17
2025-03-13,96.76
2025-03-12,97.43
2025-03-07,99.15
2025-03-03,105.77
2025-02-25,105.03
2025-02-14,107.87
2025-02-05,106.95
2025-04-16,90.15
2025-05-13,100.09
2025-04-28,92.59
2025-04-25,92.36
2025-02-24,106.68
2025-02-19,108.81
2025-02-18,108.48
2025-02-04,107.19
2025-05-22,99.07
2025-05-21,99.79
2025-05-20,100.61
2025-03-28,97.82
2025-03-25,100.86
2025-02-07,107.88
2025-01-20,106.22
2025-01-10,104.14
2025-04-30,93.36
2025-01-29,106.83
2025-01-22,107.19
2025-01-15,105.46
2025-01-06,105.76
2025-05-16,100.95
2025-05-07,94.83
2025-04-08,89.51
2025-03-14,97.88
2025-03-11,96.45
2025-01-30,107.12
2025-01-24,106.84
2025-05-23,97.95
2025-05-09,96.32
2025-01-14,103.83
2025-01-03,105.17
2025-04-22,88.48
2025-05-15,100.22
2025-04-29,93.04
2025-04-10,88.62
2025-03-31,97.18
2025-03-06,100.97
2025-01-27,105.11
2025-03-05,100.78
2025-04-03,93.41
2025-03-18,97.85
2025-03-10,98.38
2025-01-23,107.32
2025-01-09,105.19
2025-01-08,105.08
2025-05-05,95.78
2025-04-17,89.22
2025-04-02,98.24
2025-02-28,105.53
2025-01-28,106.44
2025-05-08,96.37
2025-05-02,95.65
2025-03-20,99.23
2025-02-21,107.85
2025-02-10,108.56
2025-01-07,105.00
2025-03-04,102.33
2025-05-06,95.28
2025-03-27,99.94
2025-02-26,106.39
2025-02-11,108.30
2025-01-31,108.18
2025-01-21,106.28
2025-01-13,104.02
2025-02-03,107.20
2025-04-04,89.05
2025-03-26,100.39
2025-03-21,98.91
2025-03-19,98.87
2025-02-17,108.42
2025-02-13,108.11
2025-02-12,107.55
2025-01-02,105.36
2025-05-19,100.38
2025-05-14,99.84
2024-12-30,103.59
2025-04-11,87.85
2025-04-23,91.12
2025-02-27,106.59
2025-02-20,107.73
2025-02-06,108.14
